country,Country Code,Indicator Name,Indicator Code,co2_emission
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,
South Africa,AFE,CO2 emissions (kt),EN.ATM.CO2E.KT,544952.503
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,8709.47
Central African Rep.,AFW,CO2 emissions (kt),EN.ATM.CO2E.KT,215915.61
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,19814.5
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,4383.2
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,448.884399
Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,1765052.9
United Arab Emirates,ARE,CO2 emissions (kt),EN.ATM.CO2E.KT,188088.7
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,154535.9
Armenia,ARM,CO2 emissions (kt),EN.ATM.CO2E.KT,6746.6
American Samoa,ASM,CO2 emissions (kt),EN.ATM.CO2E.KT,
Antigua and Barbuda,ATG,CO2 emissions (kt),EN.ATM.CO2E.KT,474.6
Australia,AUS,CO2 emissions (kt),EN.ATM.CO2E.KT,378996.8
Austria,AUT,CO2 emissions (kt),EN.ATM.CO2E.KT,59142.4
Azerbaijan,AZE,CO2 emissions (kt),EN.ATM.CO2E.KT,34305
Burundi,BDI,CO2 emissions (kt),EN.ATM.CO2E.KT,713.466
Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,85364.1
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,7980.4
Burkina Faso,BFA,CO2 emissions (kt),EN.ATM.CO2E.KT,5456.7
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,85493.1
Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,34138.1
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,32470.2
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,2456
Bosnia and Herz.,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,20946.8
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,54801.5
Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,687.6
Bermuda,BMU,CO2 emissions (kt),EN.ATM.CO2E.KT,
Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,18375.3
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,414138.8
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,1096.07
Brunei Darussalam,BRN,CO2 emissions (kt),EN.ATM.CO2E.KT,9588
Bhutan,BTN,CO2 emissions (kt),EN.ATM.CO2E.KT,1035.2
Botswana,BWA,CO2 emissions (kt),EN.ATM.CO2E.KT,5763.687
Central African Republic,CAF,CO2 emissions (kt),EN.ATM.CO2E.KT,236.6
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,516873.7
Central Europe and the Baltics,CEB,CO2 emissions (kt),EN.ATM.CO2E.KT,598490.02
Switzerland,CHE,CO2 emissions (kt),EN.ATM.CO2E.KT,34916.1
Channel Islands,CHI,CO2 emissions (kt),EN.ATM.CO2E.KT,
Chile,CHL,CO2 emissions (kt),EN.ATM.CO2E.KT,84827.8
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,10944686.2
Côte d'Ivoire,CIV,CO2 emissions (kt),EN.ATM.CO2E.KT,10894.9
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,9928.4
Dem. Rep. Congo,COD,CO2 emissions (kt),EN.ATM.CO2E.KT,3025.6
Congo,COG,CO2 emissions (kt),EN.ATM.CO2E.KT,7153.9
Colombia,COL,CO2 emissions (kt),EN.ATM.CO2E.KT,79057.6
Comoros,COM,CO2 emissions (kt),EN.ATM.CO2E.KT,328.2
Cabo Verde,CPV,CO2 emissions (kt),EN.ATM.CO2E.KT,620.6
Costa Rica,CRI,CO2 emissions (kt),EN.ATM.CO2E.KT,6967.4
Caribbean small states,CSS,CO2 emissions (kt),EN.ATM.CO2E.KT,32776.99
Cuba,CUB,CO2 emissions (kt),EN.ATM.CO2E.KT,24327.8
Curacao,CUW,CO2 emissions (kt),EN.ATM.CO2E.KT,
Cayman Islands,CYM,CO2 emissions (kt),EN.ATM.CO2E.KT,
N. Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,6771.8
Czech Rep.,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,88835.2
Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,603350.5
Djibouti,DJI,CO2 emissions (kt),EN.ATM.CO2E.KT,427.7
Dominica,DMA,CO2 emissions (kt),EN.ATM.CO2E.KT,162.8
Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,27356.5
Dominican Rep.,DOM,CO2 emissions (kt),EN.ATM.CO2E.KT,22881.3
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,161563
East Asia & Pacific (excluding high income),EAP,CO2 emissions (kt),EN.ATM.CO2E.KT,12660698.2
Early-demographic dividend,EAR,CO2 emissions (kt),EN.ATM.CO2E.KT,6805648.307
East Asia & Pacific,EAS,CO2 emissions (kt),EN.ATM.CO2E.KT,14708135.6
Europe & Central Asia (excluding high income),ECA,CO2 emissions (kt),EN.ATM.CO2E.KT,2830714.8
Europe & Central Asia,ECS,CO2 emissions (kt),EN.ATM.CO2E.KT,5641772.7
Ecuador,ECU,CO2 emissions (kt),EN.ATM.CO2E.KT,34431
